1		3	"aka Untitled Composition ""D"" "	"Cook, Forest L."			(Unpublished)	R	"Brier, JDS"															0
2		3		"Williams, Spencer"		1928	(Unpublished)	R	Brier															0
3		5	"aka Untitled Composition ""E"""	"Cook, Forest L."			(Unpublished)	R	"Brier, JDS"															0
4		1909	A Rag Time Two Step	"Asensio, J.J."		1988	Juan José Asensio de Haro (Barcelona)	R	nls															0
5	x	1986	A Rag	"Mezjuev, Oleg"		1986	(Self-published)	Y	"Wilson, Lists"														(x) Mezjuev	11
6		16380	(A Coon Ditty)	"Cole, Bob"	"Cole, Bob"	1897	Joseph Flanner	S	Temp															0
7		"""1"""	"aka Untitled Composition ""A"" "	"Cook, Forest L."			(Unpublished)	I	"Brier, JDS"															0
8		"""Let 'em Eat Cake""... Walk, The"		"Ryden, William"		1982	Squanlake Music Inc.	Y	"Lists, Mathew, Comp"															0
9		$4.99 Rag		"Keenan, Brian Patrick"		1992	(Unpublished)	Y	Mathew															0
10		(Untitled)		"Johnson, Charles L."			(Unpublished)		Brier															0
11	x	10th Street Rag		"Bowman, Euday L."		1914	American Ragtime Co.	R	"R&R, Brier"		a	7											(x) Kass	8
12		11/11/75 Rag		"Munro, Ian"		2003	Opus House Press (Aust) Pty Ltd	Y	Mathew															0
13	x	11th Street Rag [pub.]		"Bowman, Euday L."		1917	Bowman & Ward	R	"R&R, TAR, Brier, UCR"		a	7						x				x		0
14	x	11th Street Rag [unpub.]		"Bowman, Euday L."		1917	American Ragtime Co.	R	R&R		a	7									x	x	(x) Kass	8
15		12 Etudes In Syncopation		"Edwards, Bill"		[modern]	(Unpublished)	Y	Edwards															0
16	x	120th Regimental Blues		"Monteabaro, Corporal A. A."		1919	A. A. Monteabaro	B	Brier	m													(x) unk ex Himpsl	17
17	x	12th Street Blues	A Blue Cousin To 12th Street Rag	"Heagney, Billy"	"Heagney, Billy"	1924	J. W. Jenkins' Sons Music Co.	S	"Lists, Himpsl"	cm													(x) unk ex Himpsl	17
18	x	12th Street Rag (1)		"Bowman, Euday L."		1914	Euday L. Bowman	R	"CEPM, Levy, R&R, REC, SOR, TAPR, TAR, Brier, BI"		a	"5, 7, 12, 24"			x		x			x	x		"(x) Abruzese ex Decker, (x) Baker ex PRT, (x) Cook ex Smythe, (x) Davidson, (x) Harari, (x) Keller, (x) Kortlander ex TR, (x) Liberace1-2 ex PRT, (x) Liberty Hall, (x) Lund, (x) O'Dell, (x) Rogers, (x) Rogers2, (x) Sierra ex Wiseman,  (x) unk ex bTd,"	250
19	x	12th Street Rag (2)		"Bowman, Euday L."		1914	Euday L. Bowman	R	"CEPM, Levy, R&R, REC, SOR, TAPR, TAR, Brier, BI"		a	"5, 7, 12, 24"											"(x) unks1-2 ex Old Web, (x) unks1-4 ex Wiseman, (x) unk ex TR, (x) Jacobs ex Perry, (x) unk ex Ramet, (x) Hunt & Davison ex York, (x) Heard, (x) Mariner ex Raspin, (x) Jacobs ex Raspin, (x) Jones ex Perry"	204
20	x	12th Street Rag [song]		"Bowman, Euday L."	"Sumner, James S."	1919	J. W. Jenkins' Sons Music Co.	S	"Reublin, UCR, Gourd"						x			x	x					0
21		13 Novembre Rag		"Eulry, Fabrice"		1981	(Self-published)	Y	BI															0
22	x	1915 Rag		"Tierney, Harry Austin"		1913	(Unpublished)	R	"R&R, REC, TAPR, Brier"														"(x) unk ex Smythe, (x) unk ex TR, (x) unk ex Ramet"	50
23		1919 March 	aka 1919 Rag	Traditional		1993		M	SOR															0
24		"19th Galaxy, The"		"Robinson, Reginald R."		1990's	Reginald R. Robinson	Y	"Brier, Mathew"															0
25		2 A.M. Blues		"Johnson, J. C. & Irving, Roland"		pre 1923		B	"Baker, Mathew"															0
26		2 Ragtime Sketches	Op. 74	"Schmetterer, Christoph"		2001	(Self-published)	Y	"Schm, Brier"															0
27		2 Toys - I Rockinghorse 	(= Schaukelpferd)	"Perl, Lothar"		1934	"B. Schott's Söhne, Mainz"	N	Le Gallo															0
28		2 Toys - II Crazy Top 	(= Toller Kreisel)	"Perl, Lothar"		1934	"B. Schott's Söhne, Mainz"	N	Le Gallo															0
29		"20th Century Rag, The"		"Abrahams, Maurice "		1914	Maurice Abrahams Music Co. Inc.	R	CRN															0
30	x	"20th Century Rag, The [song]"		"Abrahams, Maurice "	"Clarke, Grant & Leslie, Edgar"	1914	Maurice Abrahams Music Co. Inc.	S	"TAPR, MacD, And, CRN, Brier, Temp"									x						0
31	x	20th Century Stomp		"Bogatko, George"		1995		N	Wilson														(x) Bogatko	11
32		21st Birthday Rag		Dutch Tilders [Band]		1975	(Unpublished)	Y	Carbone															0
33		22nd Regiment March		"Lamb, Joseph F."		1962	Amelia Lamb & Robert Darch	M	TAPR															0
34		"23rd Rag, The"		"Ryden, William"		1975	(Unpublished)	Y	Comp															0
35		2A (The . . . Rag)	"aka Untitled Composition ""B""; Border Rag Two-Step"	"Cook, Forest L."			(Unpublished)	R	"Brier, JDS"															0
36		2B	"aka Untitled Composition ""C"" "	"Cook, Forest L."			(Unpublished)	R	"Brier, JDS"															0
37		2-L-O	Fox-Trot	"Clayton, Montague"		1923	"Betwyn, Ltd"	F	Brier															0
38		3 Little Minor Rags	Op. 36	"Schmetterer, Christoph"		1999	(Self-published)	Y	Schm															0
39		3 Syncopated Romances - I Ballade		"Perl, Lothar"		1934	"B. Schott's Söhne, Mainz"	N	Le Gallo															0
40		3 Syncopated Romances - II Nocturne		"Perl, Lothar"		1934	"B. Schott's Söhne, Mainz"	N	Le Gallo															0
41		3 Syncopated Romances - III Rondeau		"Perl, Lothar"		1934	"B. Schott's Söhne, Mainz"	N	Le Gallo															0
42		300 Green	aka That Wooden Rag	"Jeffers, A. E."		1913	A. E. Jeffers	R	"TAR, Brier"															0
43	x	30th Street Rag		Hiawatha		2004	(Unpublished)	Y	Comp														(x) Hiawatha ex Mathew	22
44	x	31st Street Blues		"Hall, Wendell & Geise, Harry"	"Hall, Wendell & Geise, Harry"	1924	Joe Davis Music Co.	S	"SOR, Temp"	m													(x) Geise ex Himpsl	19
45		4 Jazz-Soli For Piano – Japanisches Puppenfest 	Foxtrot (= Japanes Dolls Festival – Fête Des Poupées Au Japon)	"Fischer, Ernst"		1934	"Richard Birnbach, Berlin"	F	Le Gallo															0
46		4 Jazz-Soli For Piano – Mittsommerzeit 	"Slow-Fox (= Midsummertime – Saint-Jean D'Été, La)"	"Fischer, Ernst"		1934	"Richard Birnbach, Berlin"	F	Le Gallo															0
47		4 Jazz-Soli For Piano – Randglossen 	Foxtrot (= Japanes Dolls Festival – Fête Des Poupées Au Japon)	"Fischer, Ernst"		1934	"Richard Birnbach, Berlin"	F	Le Gallo															0
48		"4 Jazz-Soli For Piano – Verrückte Klavier, Das "	Foxtrot (= Japanes Dolls Festival – Fête Des Poupées Au Japon)	"Fischer, Ernst"		1934	"Richard Birnbach, Berlin"	F	Le Gallo															0
49		4 Klavier Soli – Gegen Abend		"Fischer, Ernst"		1943	"Richard Birnbach, Berlin"	N	Le Gallo															0
50		"4 Klavier Soli – Sonderbarer Kauz, Ein"		"Fischer, Ernst"		1943	"Richard Birnbach, Berlin"	N	Le Gallo															0
51		4 O'Clock		"LeProtti, Sidney"		1910's	(Unpublished)	R	Ranalli															0
52		5 Études De Jazz - I. Charleston	pour Zez Confrey	"Schulhoff, Erwin"		1927	Universal-Edition	N	Le Gallo															0
53		5 Études De Jazz - II. Blues	pour Paul Whiteman	"Schulhoff, Erwin"		1927	Universal-Edition	B	Le Gallo															0
54		"5 Études De Jazz - V. Toccata Sur Le Shimmy ""Kitten On The Keys“ De Zez Confrey"	pour Alfred Baresel	"Schulhoff, Erwin"		1927	Universal-Edition	N	Le Gallo															0
55	x	6th St Rag		"Bowman, Euday L."		1914	American Ragtime Co.	R	"R&R, Brier"		a	7											(x) Ranalli	11
56		7 Come 11		"Deitsch, Paul J."		1912	Sandstrom Music	R	Brier															0
57		7 Novembre Rag		"Eulry, Fabrice"		1980	(Self-published)	Y	BI															0
58		7 Or 11 	(My Dixie Pair o' Dice)	"Donaldson, Walter"	"Brown, Lew"	1923	"Shapiro, Bernstein & Co. Inc."	S	Temp															0
59		72 Rag		"Klink, Granville"		[modern]		Y	Davis															0
60		7-4 Rag		"Grinstead, Dan"		pre 2004		Y	"Baker, Davis, Mathew"															0
61	x	7all Rag		"Hawthorne, Paul"		1998		Y	Mathew														(x) Hawthorne ex Laura	22
62		A' Frangesa	Neapolitan Two-Step	"Yosco, Bob"	"Lyons, George"			S	BI															0
63		A La Martinique	Polka Nègre sur les motifs de la chanson chantée par Fragson	"Christiné, Henri"		1912	"P. H. Christiné, France"	P	"Brier, BI"															0
64		A Major Rag		"McDermott, Tom"		[modern]		Y	SOR															0
65		A Natural	A Slow Raggy Drag	"Mauro, Joe"		1908	H. A. Triggs	R	"TAR, Brier"															0
66	x	AARP Rag	aka Chuckatuck Rag	"Gilbert, Walter"	"Whiteree, David"	1996	(Unpublished)	S	BI														(x) Gilbert	11
67	x	"Aba Daba Honeymoon, The"		"Fields, Arthur & Donovan, Walter"	"Fields, Arthur & Donovan, Walter"	1914	Leo Feist Inc.	S	"CEPM, Levy, UCR, Brier"						x			x					"(x) Cook ex Smythe, (x) Stevens ex Smythe"	41
68		"Abandoned Gosling, The"		"Edwards, Keith Otis"		1999		Y	Sibelius Music*															0
69		Abigale's Waltz		"Darch, Robert R."		[modern]		Y	Davis															0
70		A-Blowin' Down De Line	A Colored Cyclone in Rag Time	"Kennett, Karl"	"Udall, Lyn"	1898	Hamilton S. Gordon	S	TAPR															0
71		Ab-Original Rag		"de Pinna, Herbert"		~1914	"Paling & Co., Sydney"	R	Beattie															0
72		Above The Salt		"Ryden, William"		2004	(Unpublished)	Y	Comp															0
73	x	Abraham 		"Von Tilzer, Harry"	"Sterling, Andrew B."	1904	Harry von Tilzer Music Pub. Co.	S	"Levy, UCR, Brier"									x					(x) Kass	8
74		Abraham Jefferson Washington Lee	You Ain't Goin' To Pick No Fuss Out Of Me	"Von Tilzer, Harry"	"Sterling, Andrew B."	1906	Harry Von Tilzer Music Pub. Co.	S	"Kirk, Brier"															0
75	x	Abraham Lincoln Jones 	(The Christening)	"Mack*, Cecil & Smith, Chris"	"Mack*, Cecil & Smith, Chris"	1909	R. C. McPherson	S	"Temp, And, Lists"									x						0
76		Absolute Zero Rag		"Walker, Geoffrey"		2003		Y	Sibelius Music*															0
77		Absolutely No		"Bernard, Al & Robinson, J. Russel"	"Bernard, Al & Robinson, J. Russel"	1924	Henry Waterson	S	Brier															0
78	x	AbsurDitty		"Johnson, Vincent"		2009	(Unpublished)	Y	Comp														(x) Johnson ex Mathew	21
79		Accidental Rag		"Maihack, Jim"		1972	(Unpublished)	R	Lists															0
80		Accordéon Ragtime 		"Ferchit, Jacques, with Robillard, Albert"		2001	(Self-published)	Y	BI															0
